node_id	chain	kind	locator	pinned_id	status	feeds
PNP-C1	PNP	frozen_certificate	frozen/C1-ecdbb0b1	ecdbb0b1	CERTIFIED	PNP-HARD
PNP-HARD-BASE	PNP	canonical_frozen	frozen/material-orientation-green-969408f2	969408f2d84121667319da04680893dd2978e9a6	GREEN_FROZEN_REUSED	PNP-HARD
PNP-MP	PNP	historical_source	MillenniumAudit/Millennium/PvsNP.lean	3b9e8833ea7f5df5db9380d933c4a8ee5e618af083a46593c80d8da5ef164939	HASH_PINNED	PNP-HARD
PNP-HARD	PNP	open_math	construct genuine MaterialOrientation	-	ATTACK	PNP-ENDPOINT
BSD-K7K14	BSD	certified_chain	K7..K14	d24472341ce161cbb49388ef5e1379ea36ac39b2	CERTIFIED_ARCHITECTURE	BSD-HARD
BSD-HARD-BASE	BSD	canonical_frozen	frozen/d01-universal-firewall-v2-green-c1e7b245	c1e7b245726c4c65f5f9f878acefb86460746f4a	GREEN_FROZEN_REUSED	BSD-HARD
BSD-MP	BSD	historical_source	MillenniumAudit/Millennium/BSD.lean	12f736c46902f76343105f1f73705fa655767c322883964a2782880df7d5b5cf	HASH_PINNED	BSD-HARD
BSD-HARD	BSD	open_math	realizable elliptic-curve rank equality + refined formula	-	ATTACK	BSD-ENDPOINT
NS-FAILPROOF	NS	certificate	run 35565581964	job 106226618089	CERTIFIED_FAILPROOF	NS-CAN2
NS-HARD-BASE	NS	canonical_frozen	frozen/prefix-n01-uniformity-b7caecc2	b7caecc2db571679af4b6ee64829253dcd97cea2	GREEN_FROZEN_REUSED	NS-CAN2
NS-MP	NS	historical_source	MillenniumAudit/Millennium/NavierStokes.lean	1e9c6a0f028372f60683be88792c4f0a396e415690a70e09a2478b5fecb6d97d	HASH_PINNED	NS-CAN2
NS-CAN2	NS	open_math	uniform parameter-independent signed depletion from ActualNS	-	ATTACK	NS-OPENCZ
NS-OPENCZ	NS	open_math	signed far-field cancellation	-	BLOCKED_BY_CAN2	NS-ENDPOINT
